Parent Agency No.,No.,Name,Address,City,State,Latitude,Longitude,,
D1133,D1133FP,St. John United Holy Church,607 Pine Acres Rd,Chapel Hill,NC,35.9155134,-79.1151024,,
D1134,D1134FP,St. John's House of Refuge,1307 W Knox St,Durham,NC,36.0132577,-78.9140758,,
D1135,D1135FP,St. Joseph AME Church,2521 Fayetteville St,Durham,NC,35.977922,-78.90043,,
D1137,D1137FP,St. James of Durham,314 N Hyde Park Ave,Durham,NC,35.9886697,-78.8815057,,
D1138,D1138DD,DD-St. Julia Catholic Church,210 Harold Hart Rd,Siler City,NC,35.7349006,-79.3769156,,
D1140,D1140OTH,Sunrise Recovery Resource,1201 N Roxboro St,Durham,NC,36.0036294,-78.8931933,,
D1142,D1142FP,The Help Center Inc,615 Lewis Court,Oxford,NC,36.296882,-78.600428,,
D1142,D1142TF,The Help Center Inc,415 Raleigh Rd,Henderson,NC,36.315183,-78.4105,,
D1146,D1146GH,TROSA,1820 James St,Durham,NC,35.9790948,-78.9267301,,
D1149,D1149DD,DD-Upon This Rock Ministry,1206 College St,Oxford,NC,36.3300926,-78.5924039,,
D1150,D1150FP,Urban Ministries Food Pantry,410 Liberty St,Durham,NC,35.9934593,-78.8958716,,
D1155,D1155OTH,Warren-Vance Community Health,511 Ruin Creek Rd,Henderson,NC,36.3321753,-78.4470522,,
D1156,D1156FP,West Chatham Food Pantry,2535 Old US Hwy 421 N,Siler City,NC,35.751215,-79.47953,,
D1157,D1157DD,White Rock Baptist Church,3400 Fayetteville St,Durham,NC,35.977922,-78.90043,,
D1158,D1158AS,William Hawkins Yth Ministries,500 N Beckford Dr,Henderson,NC,36.3382097,-78.4017891,,
D1159,D1159FP,Word Harvest International,2403 Lednum St,Durham,NC,36.0274859,-78.9097851,,
D1160,D1160FP,Word of Life Christian,704 Franklin St,Roxboro,NC,36.3818286,-78.9921985,,
D1161,D1161DD,DD-Young Memorial,505 Brookston Rd,Henderson,NC,36.355621,-78.346802,,
D1161,D1161FP,Young Memorial United Holy,1379 Brookston Rd,Henderson,NC,36.367872,-78.341255,,
D1162,D1162FP,Zion Christian Center,2850 Virgilina Rd,Roxboro,NC,36.4254657,-78.9269419,,
D1164,D1164DD,DD-Bright Sun,113A Bright Sun Pl,Chapel HIll,NC,35.9544155,-79.0590435,,
D1165,D1165DD,DD-Calvary UMC,304 E Trinity St,Durham,NC,36.005462,-78.891115,,
D1167,D1167DD,DD-Durham Spanish SDA Church,1606 Liberty St,Durham,NC,35.9912295,-78.8743482,,
D1170,D1170DD,DD-Gomains Avenue,604-B Gomains Ave,Chapel Hill,NC,35.91555,-79.065894,,
D1175,D1175DD,DD-Piney Grove Baptist Church,1929 Piney Grove Rd,Hillsborough,NC,36.052941,-79.053352,,
D1176,D1176DD,DD-Preiss-Steele Apartments,500 Pickwick Trl,Durham,NC,36.0419096,-78.8889216,,
D1177,D1177DD,DD-South Estes,391 S Estes Dr,Chapel Hill,NC,35.9245208,-79.0216574,,
D1183,D1183DD,DD-Hillsborough SDA,1808 NC Hwy 86 N,Hillsborough,NC,36.114315,-79.112439,,
D1188,D1188DD,JEWELS Outreach and Networking,1315 Horton Rd,Durham,NC,36.0574624,-78.922498,,
D1189,D1189FP,Nehemiah Christian Center,514 N. Mangum St,Durham,NC,35.9984401,-78.897633,,
D1220,D1220FP,Amity United Methodist Church,825 N Estes Dr,Chapel Hill,NC,35.934776,-79.0549136,,
D1222,D1222DD,Jones Grove Missionary Baptist Church,2713 Coleman Loop Rd,Hillsborough,NC,36.129659,-79.119725,,
D1222,D1222FP,Jones Grove Missionary Baptist Church,2713 Coleman Loop Road,Hillsborough,NC,36.129659,-79.119725,,
D1258,D1258DD,Cedar Grove Community Center,5800 NC Hwy 86 N,Hillsborough,NC,36.178351,-79.135885,,
D1259,D1259DD,Heavenly Manna,117 Richmond Rd,Efland,NC,35.1725,-79.591831,,
D1261,D1261FP,Parktown Food Hub,5123 Revere Rd,Durham,NC,35.894399,-78.9093465,,
D1265,D1265FP,Orange County DSS,113 Mayo St,Hillsborough,NC,36.0603601,-79.10608,,
D1265,D1265TF,Orange County DSS, 113 Mayo Street,Hillsborough,NC,36.0603601,-79.10608,,
D1273,D1273FP,New Home and Durham Missionary Baptist Association,6611 Guess Rd,Durham ,NC,36.1236519,-78.942401,,
D1273,D1273TF,New Home and Durham Missionary Baptist Association,6611 Guess Road,Durham ,NC,36.1236519,-78.942401,,
D1274,D1274FP,St. Matthew Missionary Baptist Church,8604 Hwy 96,Oxford,NC,36.401426,-78.680042,,
D1293,D1293FP,Hillside Church Food Pantry,201 Culbreth Road,Chapel Hill,NC,35.8909534,-79.0626751,,
G1002,G1002FP,Alpha and Omega Church,410 E Washington St,Kinston,NC,35.266196,-77.566876,,
G1005,G1005FP,An-Nissa 2,1152 Briley Rd,Greenville,NC,35.6729252,-77.3676868,,
G1006,G1006AS,Antioch United Holy Church,2659 Railroad St,Bell Arthur,NC,35.58965,-77.514537,,
G1008,G1008FP1,Armor of God Christian Church,2648 Mill St,Winterville,NC,35.5285488,-77.403331,,
G1010,G1010FP,Ayden Christian Care Center,109B N West Ave,Ayden,NC,35.4745951,-77.41615,,
G1015,G1015BP,BP - Bethel United Methodist Church,3798 James St,Bethel,NC,35.806606,-77.374762,,
G1018,G1018FP,Bountiful Blessings House of,1432 Fort Run Rd,Snow Hill,NC,35.4790079,-77.7526826,,
G1020,G1020FP,Bread of Life Grifton,609 Cannon Blvd,Grifton,NC,35.372856,-77.429141,,
G1023,G1023FP,Catholic Charities- Tar River,1746 Union St,Greenville,NC,35.570136,-77.440218,,
G1024,G1024FP,Christ Deliverance Tabernacle,413 E Pender St,Wilson,NC,35.724958,-77.903359,,
G1025,G1025FP,Christian Fellowship Homes,301 S Grace St,Rocky Mount,NC,35.941294,-77.802447,,
G1027,G1027FP1,Churches Outreach  Network,700 Albemarle Ave,Greenville,NC,35.609953,-77.380284,,
G1027,G1027FP3,Churches Outreach Network,2921 Briery Swamp Rd,Stokes,NC,35.712104,-77.239227,,
G1027,G1027FP4,Churches Outreach Network,1610 W. 10th St,Greenville,NC,35.608038,-77.3829958,,
G1027,G1027FP5,Churches Outreach Network,306 W King St,La Grange,NC,35.311086,-77.7912498,,
